year,month,day,cityid,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed
2020,1,17,1,0.00221,0.00147,0.0012,0.00345,0.00262,0.00214,0.00124,0.00306
2020,1,17,2,0.00126,-0.00333,-0.00185,0.00559,0.000906,0.00194,-0.00211,0.00311
2020,1,17,3,0.00211,0.00365,0.00128,0.00351,0.000753,0.0023,0.00207,0.00214
2020,1,17,4,0.00115,-0.000506,-0.00612,0.0107,0.000583,0.00217,-0.00341,0.00599
2020,1,17,5,-0.00192,0.001,-0.0083,0.00485,-0.00318,-0.00251,-0.00484,0.00156
2020,1,17,6,-6.28e-05,0.0013,-0.00107,0.00197,-0.00128,0.000226,-0.000692,0.000481
2020,1,17,7,0.0011,0.000175,0.00049,0.00636,-0.00259,0.00334,0.00033,0.00193
2020,1,17,8,0.000746,-0.00164,-0.000553,0.00555,0.000357,0.00213,-0.00108,0.0034
2020,1,17,9,-0.00075,-0.0147,-0.00078,-0.0023,0.00219,-0.0016,-0.00201,-0.000136
2020,1,17,10,0.0015,0.0109,-0.00546,0.00333,-0.00196,-0.00142,0.00189,0.00103
2020,1,17,11,0.00192,0.000482,0.00462,-0.00233,0.00604,0.00174,0.00232,0.00116
2020,1,17,12,0.00222,0.00324,0.00572,0.002,-0.000216,0.00366,0.00536,0.000828
2020,1,17,13,0.00139,0.00162,-0.000232,0.00504,-0.00121,0.00216,0.000721,0.00233
2020,1,17,14,-0.000834,0.00151,-0.00454,0.00138,-0.00181,-0.0019,-0.00135,-0.000109
2020,1,17,15,-0.00149,-0.00168,-0.00493,0.00353,-0.00307,-0.000768,-0.00328,0.000604
2020,1,17,16,-0.000258,-0.00118,-0.00523,0.001,0.00392,-0.002,-0.0036,0.00242
2020,1,17,17,-0.00391,-0.00587,-0.00645,0.00386,-0.00828,-0.00133,-0.00616,-0.00129
2020,1,17,18,0.00273,0.000299,0.00754,-0.00382,0.00814,0.00185,0.00442,0.000952
2020,1,17,19,0.00466,0.0129,-0.00403,0.00432,0.0063,-0.000268,0.00436,0.00511
2020,1,17,20,0.00161,0.00402,-0.00528,0.0107,-0.00594,0.0024,-0.000154,0.00418
2020,1,17,21,9.74e-05,-0.00612,0.000388,0.0033,-0.00214,0.0021,-0.000187,0.000191
2020,1,17,22,-0.00154,-0.00734,0.0168,-0.00177,-0.00757,0.012,-0.000997,-0.049158480700552065
2020,1,17,23,0.00489,0.0117,-0.000684,0.0053,0.00645,0.00236,0.00372,0.00584
2020,1,17,24,0.000685,-7.33e-05,0.00536,-0.00268,-0.00126,0.00138,0.00454,-0.00212
2020,1,17,25,-0.000717,-0.00319,-0.00279,0.00264,-0.0012,7.87e-06,-0.00289,0.00052
2020,1,17,26,-5.31e-05,0.000791,-0.00142,0.00469,-0.00675,0.00147,-0.000178,0.000137
2020,1,17,27,-0.000803,-0.0108,-0.00116,0.00361,0.0072,0.00108,-0.00543,0.00498
2020,1,17,28,-0.00054,0.00772,-0.00139,0.000537,-0.00211,-0.000207,0.000266,-0.000838
2020,1,17,29,0.000737,-0.00422,0.00163,-4.95e-06,0.00112,0.000797,0.000879,0.000676
2020,1,17,30,-0.00092,-0.00384,0.00351,-0.00156,-0.00322,0.000977,0.000508,-0.00228
2020,1,17,31,0.00242,0.0025,7.49e-05,0.00405,0.00345,0.00205,0.00142,0.00382
2020,1,17,32,0.00435,0.01,-0.00173,0.00379,0.00535,0.000455,0.00433,0.00438
2020,1,17,33,0.00169,0.00274,0.00171,0.0029,-0.00182,0.00217,0.0021,0.00105
2020,1,17,34,0.0014,0.00307,-0.000618,0.00805,-0.00455,0.00243,-9.21e-05,0.00344
2020,1,17,35,0.00518,9.67e-05,0.00826,0.00368,0.00395,0.00613,0.00711,0.0038
2020,1,17,36,0.00178,0.00876,7.19e-05,0.00171,-0.00101,0.000963,0.00381,0.000322
2020,1,17,37,0.00117,0.00205,0.00512,-0.00222,-0.000608,0.0014,0.00366,-0.00156
