year,month,day,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_subset_unweighted_q1,emp_subset_unweighted_q2,emp_subset_unweighted_q3,emp_subset_unweighted_q4,emp_subset_reweighted_q1,emp_subset_reweighted_q2,emp_subset_reweighted_q3,emp_retail,emp_s72,emp_retail_inclow,emp_retail_incmiddle,emp_retail_inchigh,emp_ss40,emp_ss60,emp_ss65,emp_ss70
2020,1,17,0.00102,0.00186,-9.91e-05,0.0029,-0.000442,0.00132,0.000609,0.00141,0.00171,-0.000189,0.00289,-0.000481,0.00104,-0.00108,0.00273,0.0004,0.000334,0.00224,0.000783,-0.0045,0.000821,0.00153,0.000921,0.000501
2020,1,24,0.000266,-0.00161,0.00215,0.00148,-0.00236,0.00183,0.00079,-0.000236,-0.00156,0.00209,0.00148,-0.00232,-0.00626,0.00189,0.00139,-0.00101,0.00198,-0.00404,0.00232,-0.00991,-0.000252,-0.000702,0.00129,0.00191
2020,1,31,-0.000361,-0.00447,0.00316,-0.000339,-0.00203,0.0015,0.000406,-0.0011,-0.00428,0.00314,-0.000308,-0.00193,-0.0103,0.00477,-0.000356,-0.00229,0.000958,-0.00982,0.0013,-0.00426,-0.00149,-0.00124,0.00297,0.00144
2020,2,7,0.000152,-0.00784,0.00367,0.000599,0.000955,0.00221,-0.000482,0.000758,-0.00757,0.00374,0.000671,0.00112,-0.0124,0.00627,0.000767,-0.00345,0.000473,-0.0148,0.000498,-0.000202,-0.00191,0.000489,0.00542,0.00163
2020,2,14,0.00114,-0.0106,0.00166,0.00442,0.0054,0.00297,-0.00275,0.00486,-0.0103,0.00186,0.00447,0.0056,-0.015,0.00326,0.00443,-0.00317,0.00143,-0.0136,0.00103,-0.00248,-0.00211,0.00249,0.00673,0.00292
2020,2,21,0.00245,-0.0147,-0.0007,0.0102,0.0104,0.00446,-0.00574,0.0103,-0.0142,-0.000387,0.0102,0.0107,-0.0197,-0.00174,0.00972,-0.000905,0.00289,-0.0171,0.00504,0.00242,-0.00164,0.00321,0.0076,0.00466
2020,2,28,0.00211,-0.0196,-0.00157,0.0119,0.0119,0.00481,-0.00808,0.0119,-0.0191,-0.00115,0.012,0.0122,-0.0257,-0.00408,0.0114,-0.00142,0.00157,-0.0271,0.00646,0.0105,-0.00288,0.00274,0.00701,0.00395
2020,3,6,-0.000972,-0.0235,-0.00373,0.00941,0.00734,0.00251,-0.0108,0.00849,-0.0228,-0.00322,0.00956,0.0077,-0.0301,-0.00535,0.00991,-0.00578,-0.00849,-0.0347,0.00321,0.0071,-0.00596,0.00115,0.00297,-0.00447
2020,3,13,-0.0172,-0.0448,-0.0182,-0.00617,-0.00805,-0.0125,-0.0278,-0.00701,-0.0443,-0.0179,-0.00619,-0.00781,-0.0479,-0.0174,-0.0021,-0.0237,-0.0644,-0.0542,-0.0128,-0.0163,-0.0196,-0.009,-0.0133,-0.0554
2020,3,20,-0.0669,-0.116,-0.0703,-0.0506,-0.0447,-0.0609,-0.0868,-0.048,-0.116,-0.0704,-0.051,-0.0447,-0.103,-0.0604,-0.0387,-0.0786,-0.217,-0.124,-0.063,-0.0649,-0.0618,-0.0389,-0.0614,-0.2
2020,3,27,-0.142,-0.225,-0.159,-0.113,-0.09,-0.137,-0.183,-0.102,-0.225,-0.159,-0.113,-0.0901,-0.186,-0.134,-0.0917,-0.169,-0.418,-0.24,-0.151,-0.12,-0.131,-0.0832,-0.139,-0.394
2020,4,3,-0.208,-0.322,-0.24,-0.167,-0.126,-0.205,-0.27,-0.148,-0.321,-0.241,-0.168,-0.126,-0.261,-0.205,-0.14,-0.256,-0.547,-0.347,-0.239,-0.167,-0.199,-0.125,-0.215,-0.521
2020,4,10,-0.244,-0.375,-0.286,-0.195,-0.143,-0.243,-0.318,-0.172,-0.374,-0.287,-0.196,-0.143,-0.305,-0.25,-0.167,-0.303,-0.594,-0.408,-0.286,-0.191,-0.238,-0.149,-0.261,-0.571
2020,4,17,-0.25,-0.388,-0.297,-0.199,-0.14,-0.251,-0.33,-0.173,-0.387,-0.299,-0.2,-0.14,-0.316,-0.264,-0.172,-0.312,-0.595,-0.424,-0.295,-0.187,-0.246,-0.153,-0.275,-0.576
2020,4,24,-0.242,-0.385,-0.293,-0.19,-0.126,-0.244,-0.326,-0.162,-0.385,-0.294,-0.192,-0.126,-0.316,-0.263,-0.166,-0.301,-0.577,-0.417,-0.284,-0.164,-0.238,-0.148,-0.27,-0.561
2020,5,1,-0.226,-0.37,-0.277,-0.175,-0.106,-0.229,-0.311,-0.145,-0.37,-0.279,-0.177,-0.106,-0.307,-0.252,-0.154,-0.276,-0.543,-0.396,-0.261,-0.127,-0.221,-0.139,-0.251,-0.53
2020,5,8,-0.203,-0.349,-0.255,-0.154,-0.0809,-0.207,-0.289,-0.121,-0.349,-0.256,-0.155,-0.0808,-0.292,-0.233,-0.135,-0.244,-0.501,-0.367,-0.23,-0.0844,-0.197,-0.124,-0.222,-0.49
2020,5,15,-0.18,-0.325,-0.231,-0.132,-0.0602,-0.184,-0.265,-0.0998,-0.325,-0.232,-0.133,-0.06,-0.275,-0.211,-0.116,-0.213,-0.46,-0.335,-0.199,-0.0574,-0.174,-0.108,-0.195,-0.451
2020,5,22,-0.16,-0.297,-0.208,-0.116,-0.0449,-0.164,-0.24,-0.0843,-0.297,-0.209,-0.117,-0.0447,-0.252,-0.189,-0.102,-0.189,-0.423,-0.303,-0.178,-0.0355,-0.156,-0.0931,-0.171,-0.414
2020,5,29,-0.145,-0.274,-0.189,-0.105,-0.0328,-0.149,-0.219,-0.073,-0.274,-0.19,-0.106,-0.0327,-0.231,-0.172,-0.0923,-0.171,-0.391,-0.275,-0.163,-0.0157,-0.141,-0.0829,-0.151,-0.383
2020,6,5,-0.133,-0.257,-0.173,-0.0957,-0.0298,-0.136,-0.203,-0.0663,-0.257,-0.174,-0.0966,-0.0296,-0.216,-0.157,-0.0842,-0.154,-0.362,-0.252,-0.147,-0.0106,-0.131,-0.0775,-0.138,-0.356
2020,6,12,-0.124,-0.238,-0.158,-0.0881,-0.0336,-0.125,-0.187,-0.0637,-0.238,-0.159,-0.0889,-0.0333,-0.201,-0.141,-0.0777,-0.142,-0.333,-0.231,-0.133,-0.0212,-0.123,-0.0736,-0.131,-0.328
2020,6,19,-0.118,-0.224,-0.145,-0.087,-0.0366,-0.118,-0.174,-0.0644,-0.224,-0.146,-0.0878,-0.0362,-0.188,-0.128,-0.0771,-0.133,-0.309,-0.217,-0.123,-0.0246,-0.117,-0.0709,-0.128,-0.305
2020,6,26,-0.115,-0.213,-0.139,-0.0885,-0.0387,-0.115,-0.166,-0.0663,-0.213,-0.139,-0.0894,-0.0384,-0.177,-0.122,-0.0785,-0.128,-0.291,-0.206,-0.12,-0.0227,-0.114,-0.0698,-0.128,-0.287
2020,7,3,-0.113,-0.206,-0.135,-0.0897,-0.0407,-0.114,-0.161,-0.0678,-0.206,-0.136,-0.0906,-0.0404,-0.17,-0.121,-0.0794,-0.124,-0.277,-0.202,-0.116,-0.0212,-0.114,-0.0706,-0.128,-0.273
2020,7,10,-0.112,-0.203,-0.132,-0.0904,-0.0431,-0.112,-0.158,-0.0692,-0.203,-0.132,-0.0912,-0.0427,-0.168,-0.119,-0.0801,-0.121,-0.27,-0.199,-0.111,-0.0264,-0.113,-0.0717,-0.128,-0.265
2020,7,17,-0.112,-0.201,-0.13,-0.0888,-0.0461,-0.11,-0.155,-0.0697,-0.2,-0.13,-0.0896,-0.0458,-0.166,-0.116,-0.0792,-0.117,-0.268,-0.192,-0.104,-0.0397,-0.111,-0.0722,-0.127,-0.264
