year,month,day,statefips,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_ss40,emp_ss60,emp_ss65,emp_ss70
2020,1,17,1,0.00149,0.00702,-0.00489,0.00489,-0.0038,-5.07e-05,0.0014,0.00161,0.0112,0.00104,-0.00186,0.00251
2020,1,17,2,-0.00129,0.0341,0.00206,-0.0106,-0.00533,-0.00383,0.0078,-0.0082,-0.00169,-0.00694,-0.00811,-0.0188
2020,1,17,4,-0.00146,0.00232,-0.00699,0.00407,-0.00323,-0.00224,-0.00349,0.00111,0.000687,-0.00765,0.00133,-0.00135
2020,1,17,5,-0.0117,-0.0187,-0.015,-8.76e-06,-0.00605,-0.00833,-0.0171,-0.00235,-0.0108,0.00093,0.015,-0.0723
2020,1,17,6,0.00113,0.000248,0.000916,0.00259,-4.66e-05,0.00166,0.000818,0.00137,0.00111,0.00257,-0.000891,-0.000537
2020,1,17,8,0.000437,0.00704,0.00176,-0.002,-0.000336,-0.000256,0.00311,-0.00123,0.000118,-0.00467,-0.000691,0.00739
2020,1,17,9,0.00063,0.00277,-0.000955,0.00374,-0.00224,0.00143,1.48e-05,0.00108,-0.000901,0.00394,0.00199,-0.0016
2020,1,17,10,-0.00216,0.000676,-0.00207,0.000551,-0.00866,-0.000785,-0.000827,-0.00356,-0.00284,-0.00293,-0.00697,0.00221
2020,1,17,11,0.000737,-0.00422,0.00163,-4.95e-06,0.00112,0.000797,0.000879,0.000676,0.00772,0.000318,0.00147,-0.00696
2020,1,17,12,0.000555,-0.000956,-0.000548,0.0034,0.000335,0.00127,-0.000728,0.00215,0.000644,0.00189,0.000921,-0.00413
2020,1,17,13,0.000762,0.00288,-0.00162,0.00431,-0.00286,0.0013,0.000564,0.000975,0.000902,0.000214,0.000614,0.00265
2020,1,17,15,0.0242,0.0158,0.0293,0.0303,0.0149,0.0296,0.0252,0.0225,0.00748,0.0189,-0.0148,-0.000958
2020,1,17,16,-0.00172,0.0248,-0.0128,-0.00146,-0.0103,-0.00834,0.000481,-0.00492,-0.038187085440496114,0.0021,-0.00156,0.0334
2020,1,17,17,0.00137,0.00218,0.00116,0.00257,-0.000175,0.00183,0.00151,0.00125,0.00352,-0.000492,0.000632,0.0024
2020,1,17,18,0.00259,0.000917,0.00541,0.00215,0.000449,0.0039,0.0034,0.00152,0.00132,0.00543,0.0019,0.000741
2020,1,17,19,0.0009,0.00348,-0.00466,0.0144,-0.0156,0.00476,-0.000261,0.00245,0.000925,0.00763,-0.00821,0.00619
2020,1,17,20,0.00184,0.0111,-0.00204,-0.000217,0.000154,-0.00116,0.00358,-6.62e-05,0.00228,0.00551,0.000785,-0.17307094682159943
2020,1,17,21,0.000381,-0.00326,0.000418,0.00194,0.00474,0.0011,-0.00139,0.00301,-0.00339,0.00647,0.00212,-0.00232
2020,1,17,22,0.000455,-0.00251,0.00114,0.00357,0.0013,0.0023,-0.000965,0.00265,-0.00324,0.00379,0.00277,-0.00495
2020,1,17,23,-0.000882,0.000424,-0.000654,0.00142,-0.00805,0.000261,-0.000366,-0.0015,0.00347,-0.00285,-0.000428,-0.00289
2020,1,17,24,0.000255,0.000226,-0.000599,0.00168,-0.000317,0.000541,-0.000301,0.000697,0.00273,0.00207,-0.00117,0.00391
2020,1,17,25,0.00109,0.000294,0.00219,0.00191,-0.000672,0.00204,0.00176,0.00067,0.00225,-0.000361,0.00208,0.00383
2020,1,17,26,0.00244,0.00605,0.000994,0.00335,-0.00109,0.00212,0.00324,0.00152,0.00182,0.00154,0.00472,0.00288
2020,1,17,27,0.00201,0.00254,0.00612,0.000556,-0.00114,0.00317,0.00495,-0.000179,0.00331,-0.000478,-9.5e-05,0.0111
2020,1,17,28,-0.00227,-0.00197,-0.00747,0.00172,-0.000771,-0.00323,-0.00326,0.00077,-0.00493,0.00125,-0.018,0.0211
2020,1,17,29,0.000583,0.00154,0.00149,0.000452,-0.00158,0.000959,0.00151,-0.000386,-0.000617,-6.59e-05,-0.00193,0.00286
2020,1,17,30,0.00674,0.00735,-0.00536,0.0191,0.00491,0.00706,-0.000302,0.014,0.0032,0.0222,-0.033,0.0141
2020,1,17,31,0.00307,0.00401,0.00573,0.00116,0.000906,0.00348,0.00497,0.00105,0.00308,-0.00517,0.0152,-0.00359
2020,1,17,32,-0.000375,-0.00321,-0.00189,0.00445,-0.000587,0.000991,-0.00249,0.00229,0.000394,-0.00123,0.00532,-0.00714
2020,1,17,33,0.000593,0.00329,-0.00202,0.000196,0.00292,-0.000912,-4.28e-05,0.00122,0.00105,0.00135,0.0012,-0.00106
2020,1,17,34,0.00196,0.00388,-0.000153,0.00372,0.000716,0.00182,0.00166,0.00223,0.000383,0.00266,0.00258,0.00336
2020,1,17,35,0.00149,0.00602,-0.00253,0.000223,0.00259,-0.00143,0.00168,0.00114,0.00253,-0.000163,0.00206,-0.00564
2020,1,17,36,0.00165,0.0021,-0.000144,0.00447,0.000471,0.00201,0.000481,0.00265,-0.000266,0.0017,0.00359,0.000637
2020,1,17,37,0.00145,0.00495,-0.00155,0.00443,-0.0039,0.00118,0.00172,0.00107,-0.00177,0.00759,0.00179,0.00414
2020,1,17,38,0.00864,0.00563,0.0168,0.00697,0.00158,0.0118,0.013,0.00483,0.0201,-0.0183,0.00258,-0.17307094682159943
2020,1,17,39,0.000189,0.00117,-0.00195,0.00265,-0.00159,0.000145,-0.000374,0.00103,-0.000407,0.000783,0.00241,-0.00124
2020,1,17,40,0.000222,0.00215,-0.00182,0.0031,-0.00404,0.000474,0.000175,0.000288,0.000481,-0.00155,0.0038,-0.00167
2020,1,17,41,0.000197,0.00519,0.00143,-0.00185,-0.00121,-6.74e-05,0.00217,-0.0016,1.1e-05,0.00287,-0.0023,0.00216
2020,1,17,42,0.000883,0.00308,-0.000719,0.00237,-0.00178,0.000823,0.00113,0.000601,0.000876,0.00123,0.000154,0.0025
